days,valus,params,countrycode,SRC
1.04035,2.76511,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
1.31697,1.71821,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
1.75954,-0.0270959,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
2.14755,0.333922,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
2.59139,1.75019,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
3.25659,2.46944,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
3.97606,0.379802,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
4.86304,1.4559,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
5.58336,1.47398,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
6.52461,-0.258815,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
7.24437,-1.64588,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
7.63124,-4.09515,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
8.12936,-5.48778,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
8.51808,-3.37033,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
8.85011,-4.41585,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
9.29339,-4.40473,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
9.84706,-5.44468,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
10.2344,-6.84009,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
10.5661,-8.58818,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
10.6208,-10.3432,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
10.9525,-12.0913,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
11.4515,-11.3762,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
11.8398,-10.3126,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
12.2837,-8.89636,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
12.7828,-7.82999,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
13.1154,-7.47037,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
13.5584,-8.16181,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
13.8348,-9.56001,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
14.2774,-11.3053,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
14.3322,-12.7091,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
14.6637,-15.1597,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
14.8848,-16.5593,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
14.9949,-18.3129,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
15.4944,-16.1927,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
15.8833,-13.724,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
16.2162,-12.6618,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
16.6052,-9.84177,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
16.4941,-10.5471,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
16.827,-9.48493,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
17.0497,-6.66908,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
17.4931,-6.30667,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
18.0471,-6.64406,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
18.4341,-8.74204,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
18.8216,-9.78616,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
19.153,-12.2368,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
19.8175,-13.274,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
20.3152,-15.7205,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
20.7578,-17.4658,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
21.1446,-19.9151,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
21.4207,-22.3671,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
21.7517,-25.8716,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
21.9165,-29.3803,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
22.1927,-31.4811,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
22.581,-30.4175,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
22.8028,-30.0606,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
23.08,-29.7024,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
23.4113,-32.5043,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
23.5763,-35.6617,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
23.7414,-38.4678,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
23.7955,-41.628,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
24.1829,-42.6722,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
24.348,-45.4783,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
24.7347,-48.2788,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
25.0108,-50.7309,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
25.2864,-54.2368,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
25.396,-57.3956,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
25.616,-61.2541,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
25.7804,-65.8167,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
26.0559,-69.6739,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
26.3878,-71.0707,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
26.8301,-73.5185,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
27.3279,-75.6138,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
27.5483,-78.7698,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
27.8242,-81.5731,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
28.2109,-84.3736,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
28.4874,-85.7718,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
28.8189,-88.2225,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
29.1506,-89.9706,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
29.7638,-80.8219,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
30.0424,-76.9508,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
30.2098,-74.1363,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
30.5414,-76.2357,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
31.1505,-77.2742,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
31.5382,-77.6158,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
32.0921,-77.9532,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
32.5354,-77.9421,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
33.034,-78.2808,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
33.5324,-78.9709,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
34.086,-80.0108,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
34.4178,-81.7589,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
34.8601,-84.2068,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.3023,-86.6547,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.4676,-89.1095,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.6327,-91.9156,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.02,-93.311,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.0194,-94.7162,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.1873,-90.4966,retail and recreation,ITA,2020-03-29_IT_Mobility_Report_en.pdf
